Lexeme:int, Token:keyword, tokenValue:27, LineNumber:2
Lexeme:main, Token:keyword, tokenValue:31, LineNumber:2
Lexeme:(, Token:Delimiter, tokenValue:1, LineNumber:2
Lexeme:), Token:Delimiter, tokenValue:2, LineNumber:2
Lexeme:{, Token:Delimiter, tokenValue:3, LineNumber:2
Lexeme:int, Token:keyword, tokenValue:27, LineNumber:3
Lexeme:i, Token:identifier, tokenValue:35, LineNumber:3
Lexeme:=, Token:Operator, tokenValue:12, LineNumber:3
Lexeme:1, Token:integerLiteral, tokenValue:33, LineNumber:3
Lexeme:;, Token:Delimiter, tokenValue:5, LineNumber:3
Lexeme:while, Token:keyword, tokenValue:25, LineNumber:4
Lexeme:(, Token:Delimiter, tokenValue:1, LineNumber:4
Lexeme:i, Token:identifier, tokenValue:35, LineNumber:4
Lexeme:<, Token:Operator, tokenValue:10, LineNumber:4
Lexeme:10, Token:integerLiteral, tokenValue:33, LineNumber:4
Lexeme:), Token:Delimiter, tokenValue:2, LineNumber:4
Lexeme:{, Token:Delimiter, tokenValue:3, LineNumber:4
Lexeme:i, Token:identifier, tokenValue:35, LineNumber:5
Lexeme:=, Token:Operator, tokenValue:12, LineNumber:5
Lexeme:i, Token:identifier, tokenValue:35, LineNumber:5
Lexeme:+, Token:Operator, tokenValue:6, LineNumber:5
Lexeme:1, Token:integerLiteral, tokenValue:33, LineNumber:5
Lexeme:;, Token:Delimiter, tokenValue:5, LineNumber:5
Lexeme:}, Token:Delimiter, tokenValue:4, LineNumber:6
Lexeme:return, Token:keyword, tokenValue:29, LineNumber:7
Lexeme:0, Token:integerLiteral, tokenValue:33, LineNumber:7
Lexeme:;, Token:Delimiter, tokenValue:5, LineNumber:7
Lexeme:}, Token:Delimiter, tokenValue:4, LineNumber:8
