Lexeme:start, Token:keyword, TokenVal:27, LineNumber:2
Lexeme:(, Token:Operator, TokenVal:1, LineNumber:2
Lexeme:), Token:Operator, TokenVal:2, LineNumber:2
Lexeme:{, Token:Operator, TokenVal:3, LineNumber:2
Lexeme:int, Token:keyword, TokenVal:23, LineNumber:3
Lexeme:d, Token:identifier, TokenVal:31, LineNumber:3
Lexeme:;, Token:Operator, TokenVal:5, LineNumber:3
Lexeme:int, Token:keyword, TokenVal:23, LineNumber:4
Lexeme:x, Token:identifier, TokenVal:31, LineNumber:4
Lexeme:d, Token:identifier, TokenVal:31, LineNumber:5
Lexeme:=, Token:Operator, TokenVal:12, LineNumber:5
Lexeme:1, Token:integerLiteral, TokenVal:29, LineNumber:5
Lexeme:;, Token:Operator, TokenVal:5, LineNumber:5
Lexeme:}, Token:Operator, TokenVal:4, LineNumber:6
