Lexeme:A, Token:identifier, TokenVal:31, LineNumber:1
Lexeme:=, Token:Operator, TokenVal:12, LineNumber:1
Lexeme:B, Token:identifier, TokenVal:31, LineNumber:1
Lexeme:+, Token:Operator, TokenVal:6, LineNumber:1
Lexeme:C, Token:identifier, TokenVal:31, LineNumber:1
Lexeme:*, Token:Operator, TokenVal:7, LineNumber:1
Lexeme:D, Token:identifier, TokenVal:31, LineNumber:1
Lexeme:/, Token:Operator, TokenVal:8, LineNumber:1
Lexeme:E, Token:identifier, TokenVal:31, LineNumber:1
Lexeme:+, Token:Operator, TokenVal:6, LineNumber:1
Lexeme:F, Token:identifier, TokenVal:31, LineNumber:1
Lexeme:;, Token:Operator, TokenVal:5, LineNumber:1
